Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
PostGIS,Ocean Observatory Initiative (OOI),,PostGIS is a spatial database extender for PostgreSQL object-relational database. It adds support for geographic objects allowing location queries to be run in SQL.,cicomponentREview,database,data management,operational,,,,,,,,,,,,PostGIS,database.jpg,database
PostgreSQL,Ocean Observatory Initiative (OOI),,"PostgreSQL is a powerful, open source object-relational database system. It has more than 15 years of active development and a proven architecture that has earned it a strong reputation for reliability, data integrity, and correctness. It runs on all major operating systems, including Linux, UNIX (AIX, BSD, HP-UX, SGI IRIX, Mac OS X, Solaris, Tru64), and Windows. It is fully ACID compliant, has full support for foreign keys, joins, views, triggers, and stored procedures (in multiple languages). It includes most SQL:2008 data types, including INTEGER, NUMERIC, BOOLEAN, CHAR, VARCHAR, DATE, INTERVAL, and TIMESTAMP. It also supports storage of binary large objects, including pictures, sounds, or video. It has native programming interfaces for C/C++, Java, .Net, Perl, Python, Ruby, Tcl, ODBC, among others, and exceptional documentation.",cicomponentREview,database,data management,operational,,,,,,,,,,,,PostgreSQL,database.jpg,database
Power Controller,Ocean observatory initiative (OOI),,,cicomponentREview,component,hardware controller,conceptual,,,,,,,,,,planned?,,Power Controller,globe.jpg,component
Print Tracking Vocabulary,,http://vocab.deri.ie/printTracking,The printTracking ontology could be used to represent data coming from the usual print auditing siftware. One possible use case is to use the data along with data from other data sources in the organization to prepare sustainability reports in the organization.,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Print Tracking Vocabulary,vocabulary.jpg,vocabulary
Privacy Preference Manager Ontology (PPMO),,http://vocab.deri.ie/ppmo,An ontology to describe privacy preference manager configuration settings including assigning administration rights,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Privacy Preference Manager Ontology (PPMO),vocabulary.jpg,vocabulary
Privacy Preference Ontology (PPO),,http://vocab.deri.ie/ppo,An ontology to create privacy preferences for Linked Data,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Privacy Preference Ontology (PPO),vocabulary.jpg,vocabulary
Process Engine,Ocean observatory initiative (OOI),,,cicomponentREview,component,data processing,conceptual,,,,,,,,,,planned?,,Process Engine,globe.jpg,component
Processing Level Vocabulary,,http://www.rvdata.us/voc/processinglevel,Five different levels R2R data can be in and what those levels mean.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Processing Level Vocabulary,vocabulary.jpg,vocabulary
Processing Levels of NOAA Satellite Data Sets,,https://www.ngdc.noaa.gov/wiki/index.php?title=NOAA_Processing_Levels,"Levels of processing that NOAA Satellite data can be in.
The data processing levels applicable to NOAA satellite data. These definitions were published on a wiki page at the links below, derived from the FGDC CSDGM - Extensions for Remote Sensing Metadata (FGDC-STD-012-2002), as an informative appendix.",,vocabulary,information exchange,Published Standard,Ocean Science,NOAA,,,,,,,,,,Processing Levels of NOAA Satellite Data Sets,vocabulary.jpg,vocabulary
Processing Servers,GEOSS,,Components that accepts requests to process data using an algorithm hosted in the component. The data is accessed from a remote service.,cicomponentREview,server application,data processing,conceptual,,GEOSS,OGC AIP-7 Architecture report,"WPS, ACCESS",,,,,,,,Processing Servers,webclient.jpg,server application
Products covered by the fruit and vegetable regime,,http://ec.europa.eu/agriculture/fruit-and-vegetables/list-of-products_en.pdf,"The EU actively supports the fruit and vegetable sector though its market-management scheme (element of the 'common organisation of agricultural markets'), which has 4 broad goals: 1. a more competitive and market-oriented sector 2. fewer crisis-related fluctuations in producers' income 3. greater consumption of fruit and vegetables in the EU 4. increased use of eco-friendly cultivation and production techniques.The scheme promotes product quality by applying marketing standards to certain products and supporting operational programme measures that improve or maintain product quality. This document lists the fruits and vegetables covered by the scheme. The scheme does not include bananas others than plantains, potatoes, live plants/floriculture products, olive oil or table olives.",,vocabulary,information exchange,Unknown,Agriculture,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,Products covered by the fruit and vegetable regime,vocabulary.jpg,vocabulary
Profiles properties,,http://vocab.deri.ie/yoda,"This describes a vocabulary for routing Semantic Web tools toward an appropriate version, depending on the needs of the tool. For instance, it can be used to provide a DL-compatible version of an otherwise non-DL ontology.",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Profiles properties,vocabulary.jpg,vocabulary
Program Vocabulary,,http://www.rvdata.us/voc/program,Vocabulary for various programs associated with R2R.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Program Vocabulary,vocabulary.jpg,vocabulary
Project Documents Ontology,,http://vocab.deri.ie/pdo,"The Project Documents Ontology, described using W3C RDF Schema and the Web Ontology Language, models the inherent structure and concepts of various documents in a project-specific setting, like meeting minutes, status reports etc.",,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Project Documents Ontology,vocabulary.jpg,vocabulary
Provenance database,CINERGI,,"stores provenance information generated throughout CINERGI metadata pipeline. Eventually, will store user annotations and additional metadata not mapped to ISO 19115/19139 schema",cicomponentREview,component,data management,planned,,CINERGI,,HTTP API,"JSON, XML?",,,,W3C PROV,Neo4J,,Provenance database,globe.jpg,component
PRTR StandAlone SDI,,https://joinup.ec.europa.eu/software/prtr-standalone-sdi/home | https://joinup.ec.europa.eu/node/73055,a public and web based collection of tools and frameworks for interactive visualization of spatial data. It was developed following the architecture and technology of the German Pollutant Release and Transfer Register PRTR (www.thru.de) and can be integrated as an independent system into any web page (e.g. a content management system like Typo3) for presentation and visualization in the internet.,hli,open data platform,,,Various,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,PRTR StandAlone SDI,globe.jpg,open data platform
psycopg2,Ocean Observatory Initiative (OOI),,Psycopg is the most popular PostgreSQL adapter for the Python programming language. At its core it fully implements the Python DB API 2.0 specifications. Several extensions allow access to many of the features offered by PostgreSQL.,cicomponentREview,interface,data access,operational,,,,,,,,,,,,psycopg2,globe.jpg,interface
Public Service Collaboration Ontology,,http://vocab.deri.ie/psc,,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Public Service Collaboration Ontology,vocabulary.jpg,vocabulary
Push Vocabulary for PubSubHubbub in SMOB,,http://vocab.deri.ie/push,,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Push Vocabulary for PubSubHubbub in SMOB,vocabulary.jpg,vocabulary
PyDap,Ocean Observatory Initiative (OOI),http://groups.google.com/group/pydap,"Pydap is a modular python library for DAP and NetCDf in python. It provides access to IO layer of the common data model from both NetCDF files and DAP encoded data. The arrays, variables, attributes and dimensions are exposed as numpy arrays and python objects. ",cicomponentREview,software library,data processing,http://groups.google.com/group/pydap,,http://groups.google.com/group/pydap,,,,,,,,,,PyDap,software.png,software library
Pyke,Ocean Observatory Initiative (OOI),http://pyke.sourceforge.net/,A knowledge-based inference engine (expert system) written in 100% Python.,cicomponentREview,,,,,,,,,,,,,,,Pyke,globe.jpg,
Pylos Observatory,,http://www.poseidon.hcmr.gr/eurosites/about.php,"The E1-M3A and Pylos sites were designed as open-ocean monitoring systems that can provide continuous information for physical parameters in the upper thermocline, bio-chemical parameters in the euphotic zone and air-sea interaction parameters at the sea-surface level. The E1-M3A site (Cretan Sea) and Pylos site (Southern Ionian Sea) are deployed in an area with complex hydrology where intermediate and dense water formation takes place (CIW, CDW) while water masses formed in the Levantine and the northern Aegean Sea meet and interact with those locally produced. The platform which has been upgraded recently through POSEIDON II project hosts a variety of different sensors measuring meteorological, physical and biochemical parameters. The buoy used at these sites is a Seawatch-Wavescan type which is a multi-parametric instrumentation platform and suitable for deployment in deep offshore locations (Furgo OCEANOR www.oceanor.no). The two stations are programmed to collect the data every three (3) hours and upon collection to transmit them to the receiving station.  The sea-bed observatory lies on the sea bottom and it has built-in sensors capable of recording at a high resolution the water column pressure, temperature and salinity. The communication between the platform and the surface buoy is achieved through hydro-acoustic modems. The coupling of a sea bottom observing platform with a multi-parametric mooring, creates new opportunities of monitoring the ocean not only through air-sea interaction related parameters or the first few hundred meters of the water column data, but also through geo-physical and bio-chemical data of the deep sea basin that are now becoming available.",,platform,,Not Evaluated,Ocean Science,National Oceanography Centre,,,,,,,,,,Pylos Observatory,globe.jpg,platform
PyTables,,http://www.pytables.org/moin,PyTables is a package for managing hierarchical datasets and designed to efficiently and easily cope with extremely large amounts of data.,cicomponentREview,desktop application,data processing,operational,,,,,,,,,,,,PyTables,package-x-generic.png,desktop application
Q2O Parameter Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/q2o/parameter,Descriptions of the parameters used in quality control tests.,,vocabulary,information exchange,Published Standard,Ocean Science,Qartod to OGC,,,,,,,,,,Q2O Parameter Vocabulary,vocabulary.jpg,vocabulary
Q2O Quality Control Tests,,http://mmisw.org/orr/#http://mmisw.org/ont/q2o/test,Descriptions of the quality control tests.,,vocabulary,information exchange,Published Standard,Ocean Science,Qartod to OGC,,,,,,,,,,Q2O Quality Control Tests,vocabulary.jpg,vocabulary
R,Ocean Observatory Initiative (OOI),http://www.r-project.org/,Software to perform data analysis and display.,cicomponentREview,desktop application,data processing,operational,,Open Source,,,,,,,,,,R,package-x-generic.png,desktop application
RabbitMQ,Ocean Observatory Initiative (OOI),,Implementation of an AMQP broker. Currently implements 0.8 and soon 0.91 versions of the AMQP spec. Light-weight high performance implementation that enables clustering of multiple brokers. Provide persistent message store for transactions. Implemented in Erlang on top of the OTP platform. Can be configured via txRabbit or via command line,cicomponentREview,system,machine interface,operational,,,,,,,,,,,,RabbitMQ,globe.jpg,system
RAUL Vocabulary,,http://vocab.deri.ie/raul,A vocabulary to describe Web form widgets. Strongly aligned with the meta model of HTML Web forms.,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,RAUL Vocabulary,vocabulary.jpg,vocabulary
RBV Metadata,,http://portailrbv.sedoo.fr/,"RBV Metadata catalog: river and drainage basin data from 15 French observatories, CSW/ISO19115, multilingual SKOS CVs.
The Watershed Network (RBV) is a network of multi-disciplinary research with a mission to unite the efforts of different national organizations basic and applied research (CNRS, Universities, INRA, Cemagref, IRD) on the study of rivers , rivers and their watersheds . The RBV includes fifteen elementary observatories, both located on French territory in the South where they are the subject of advanced scientific collaborations.",,catalog,,Community-Established,Hydrology,National Alliance for Environmental Research,,,,,,,,,,RBV Metadata,icon_catalog.jpg,catalog
RDForms - representing HTML form and field semantics,,http://vocab.deri.ie/rdforms,"A vocabulary that defines how to represent HTML forms and fields (input, select, etc.) and CRUD operations on the fields.",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,RDForms - representing HTML form and field semantics,vocabulary.jpg,vocabulary
Re3gistry,,https://joinup.ec.europa.eu/software/re3gistry/home,"Data that are being shared between organisations often need to unambiguously refer to certain entities, such as a given topic/theme that a dataset refers to, a coordinate reference system or who the organisation is that is publishing the data. Lists that provide unique identifiers for such items, together with the items descriptions, are referred to as registers, and the systems and software that support the management of registers are known as registries.",hli,software library,JU,Unknown,Various,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,Re3gistry,software.png,software library
Real-Time ADAS -- ARPS Data Analysis System,,http://www.caps.ou.edu/ADAS.html,"Real-Time ADAS -- ARPS Data Analysis System An experimental real-time 3-D analysis system.
Web page with data plots from the Real-Time ADAS -- ARPS Data Analysis System An experimental real-time 3-D analysis system.",,Data Access,,,,"CAPS the numerical analysis and prediction of high-impact local weather and environmental conditions, with emphasis on the assimilation of observations from Doppler radars and in-situ and remote sensing systems",,,,,,,,,,Real-Time ADAS -- ARPS Data Analysis System,dataservice.jpg,Data Access
"reconstruct_feature_collection service
",GPlates,"http://gplates.gps.caltech.edu:8080
",Plate tectonics reconstruction from PaleoDB. The reconstruct_feature_collection is a simple Web Service that reconstructs geographic feature data from present day coordinates back to some paleo-position.,IlyaZaslavsky,API,data access,Beta,Geology,Caltech,http://gplates.gps.caltech.edu:8080/doc/,HTTP API,"GeoJSON
",GeoJSON,(feature_collection) (geologicage) (output) [coastlines] [test],"shapefile, geojson, topojson, gmtmap, img",GPlates features,,,"reconstruct_feature_collection service
",database.jpg,API
Rent Properties,,http://vocab.deri.ie/rentprop,This vocabulary is used to describe rent properties documents,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Rent Properties,vocabulary.jpg,vocabulary
ResearchGate,World Wide Web (WWW),http://www.researchgate.net/,"Our mission is to connect researchers and make it easy for them to share and access scientific output, knowledge, and expertise. On ResearchGate they find what they need to advance their research. ",cicomponentREview,Portal,discovery,,Science,,,,,,,,,,,ResearchGate,globe.jpg,Portal
Resource recommender,CINERGI,metadata.earthcube.org,front-end web client for users to suggest resources for registration,cicomponentREview,component,web client,operational,,CINERGI,,HTTP,"JSON, XML?",,,,,Java,,Resource recommender,globe.jpg,component
Resource Type Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/resourcetype,This vocabulary defines a list of resource types that can be used to drive the corresponding drop-down in the ontology metadata editor.,,vocabulary,information exchange,Community-Defacto,Ocean Science,Marine Metadata Initative,,,,,,,,,,Resource Type Vocabulary,vocabulary.jpg,vocabulary
Reverb,EOSDIS,http://www.echo.nasa.gov/reverb/about_reverb.htm | http://reverb.echo.nasa.gov/reverb,metadata and service discovery tool. ,cicomponentREview,web site,discovery,operational,,NASA,,,,,,,,,,Reverb,globe.jpg,web site
Ridge 2000 Data Portal,,http://www.marine-geo.org/portals/ridge2000/,"This page provides access to cruise information and data collected through the Ridge 2000 program. Find data using our search tools or by using the List Data by Site links. Data can also be accessed through GeoMapApp. The map client can be used to view the locations of stations, samples and vents, and links are provided to additional information in the database for each. In addition to Ridge 2000 data, this page provides access to data relevant to the integrated studies of spreading centers",,web site,data access,Not Evaluated,Ocean Science,Integrated Earth Data Applications,,,,,,,,,,Ridge 2000 Data Portal,globe.jpg,web site
Role Type Vocabulary,,http://www.rvdata.us/voc/roletype,The various roles an individual can have in relation to R2R data and research.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Role Type Vocabulary,vocabulary.jpg,vocabulary
Rolling Deck to Repository vocabularies,,a,,,catalog,,Unknown,Oceanography,Rolling Deck to Repository,,,,,,,,,,Rolling Deck to Repository vocabularies,icon_catalog.jpg,catalog
rsync,Server OS *nix,,"rsync mirrors a directory tree of files and can incrementally detect updates to files and only transfer changes. It's a very basic, efficient and proven UNIX technology",cicomponentREview,server application,information exchange,,,,,,,,,,,,,rsync,webclient.jpg,server application
rsyslog,Ocean Observatory Initiative (OOI),http://www.rsyslog.com/,"Rsyslog is an enhanced syslogd supporting, among others, MySQL, PostgreSQL, failover log destinations, syslog/tcp, fine grain output format control, high precision timestamps, queued operations and the ability to filter on any message part.",cicomponentREview,server application,reporting,operational,,,,,,,,,,,,rsyslog,webclient.jpg,server application
Rulz - the Rules in the Web Zoo,,http://vocab.deri.ie/rulz,"A vocabulary to describe rules (RIF, N3, Prolog, etc.) in the Web, which enables to effectively and efficiently discover rules in any format, based on topics, language, goals, etc.",,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Rulz - the Rules in the Web Zoo,vocabulary.jpg,vocabulary
S2 observatory Filchner Ronne,,http://www.fixo3.eu/observatory/filchner-ronne/,"The S2 Observatory for long term monitoring of Ice Shelf Water (ISW) Overflow situated at the Filchner sill in the southern Weddell Sea was established in 1977 and continues to deliver the longest existing marine time series from Antarctica. The position for the observatory S2 proved to be a key site for monitoring the ISW overflow produced beneath the huge Filchner Ronne Ice Shelf and is selected to be a part of the global net of monitoring sites under CLIVAR (www.clivar.org) and OceanSITES (www.oceansites.org). Time series of current speed and direction, temperature and salinity exist back to 1977.  Continuous observation of dissolved oxygen started in 2009.",,Platform,,Not Evaluated,Ocean Science,Uni Research AS,,,,,,,,,,S2 observatory Filchner Ronne,globe.jpg,Platform
S2S,,http://tw.rpi.edu/web/project/gcis-imsap/S2sFaceted,"Faceted Search and Browse functionality.  S2S is a web application framework for searching distributed data repositories exposed by standardized web services. It was designed to facilitate the construction of interactive user interfaces for data catalogs. S2S allows one to quickly make faceted browsers of OpenSearch web services. It uses machine-readable semantics of data, services, and user interface components called ""widgets"". S2S automates various tasks in UI development for search interfaces.",cicomponentREview,web application framework,"user interface, search",,,Tetherless world Constellation RPI,,Opensearch,,,,,,Virtuoso,,S2S,globe.jpg,web application framework
SALVIAS,,http://www.salvias.net/pages/index.html,"SALVIAS is a network of ecologists, conservation biologists, biogeographers, botanists and computer programmers interested in understanding large scale patterns of plant diversity.",cicomponentREview,,,,,,,,,,,,,,,SALVIAS,globe.jpg,
Sample Type Vocabulary,,http://www.rvdata.us/voc/sampletype,Terms to label data based on how the samples were acquired.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Sample Type Vocabulary,vocabulary.jpg,vocabulary
Sat24,,http://www.sat24.com/,Web map application for viewing satellite weather data,,web site,data presentation,,Meteorology,No Affiliated Organization,,,,,,,,,,Sat24,globe.jpg,web site
Schema.org CSV,,http://vocab.deri.ie/scsv,Mapping vocabulary for CSV files that use Schema.org terms in the header.,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Schema.org CSV,vocabulary.jpg,vocabulary
SciCrunch,Neuroscience information framework (NIF),,,cicomponentREview,cloud platform,,,,,,,,,,,,,,SciCrunch,globe.jpg,cloud platform
SCIDIP-ES,,http://www.scidip-es.eu/,"SCIence Data Infrastructure for Preservation with focus on Earth Science (SCIDIP-ES) is a European 7th Framework project. It brings together the state of the art in preservation technologies, represented by Earth Science repositories, and researchers for digital data preservation techniques.",,system,,Not Implemented,Geology,Science Data Infrastructure Preservation,,,,,,,,,,SCIDIP-ES,globe.jpg,system
scientific networking and collaboration portal,iPlant,,"provides researchers with a site to connect with other researchers and to facilitate new collaborations and wider communication... facilitate data assembly for phylogenetic trees... connecting members to each other, to groups with common interests, and to the content these groups co-create.",cicomponentREview,web site,user interface,,,iPlant,"Goff et al., 2011",human,,,,,,my-Plant.org,,scientific networking and collaboration portal,globe.jpg,web site
SCO Vocabulary,,http://vocab.deri.ie/sco,,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,SCO Vocabulary,vocabulary.jpg,vocabulary
SCOVO Link Vocabulary,,http://vocab.deri.ie/scovolink,"SCOVO Link allows the grounding of SCOVO entities in existing vocabularies. Authors are: Denny Vrandecic, Christoph Lange, Michael Hausenblas, Jie Bao and Li Ding.",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,SCOVO Link Vocabulary,vocabulary.jpg,vocabulary
Sea Area Vocabulary,,http://www.rvdata.us/voc/gazetteer-seaarea,"Map ID, IHO code and name of various seas from which R2R collects data.",,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Sea Area Vocabulary,vocabulary.jpg,vocabulary
"Sea Surface Temperature (Global Telecommunications Systems, GTS)",,http://mmisw.org/orr/#http://mmisw.org/ont/noaa/gts,"Terms describing plots developed by NOAA NMFS PFEL. The plots in this data group are of monthly means in 1-degree lat/lon squares of sea surface temperature and anomalies. They were computed from GTS surface observations received twice a day by PFEL from FNMOC (Fleet Numerical Meteorology and Oceanography Center). These are global real-time surface observations from platforms such as ships and buoys (both fixed and drifting). They are a subset of the data which will be included in an update to COADS (Comprehensive Ocean-Atmosphere Data Set, also see COADS on CD-ROM) .",,vocabulary,information exchange,Community-Defacto,Ocean Science,NOAA,,,,,,,,,,"Sea Surface Temperature (Global Telecommunications Systems, GTS)",vocabulary.jpg,vocabulary
SeaBASS,OceanColor Web,http://seabass.gsfc.nasa.gov/,repository of in situ oceanographic data to support algorithm development and satellite data product validation activities.,cicomponentREview,repository,data management,operational,,Goddard Space Flight Center,,,,,,,,,,SeaBASS,database.jpg,repository
SeaDAS,OceanColor Web,http://seadas.gsfc.nasa.gov/, image analysis package for the processing and display of satellite ocean color data.,cicomponentREview,,,,,Goddard Space Flight Center,,,,,,,,,,SeaDAS,globe.jpg,
SeaDataNet Software,,http://www.seadatanet.org/Standards-Software/Software,"A suite of tools designed by SeaDataNet to facilitate the creation, editing, and conversion of ocean and marine data and metadata. Particular tools are available for preparing ISO 19115-conformant XML metadata files for the SeaDataNet directories.",hli,software library,DCC,Unknown,Data Systems,Digital Curation Centre,,,,,,,,,,SeaDataNet Software,software.png,software library
Searchlight,National Snow and Ice Data Center,http://nsidc.org/searchlight/index.html,"Searchlight is a layered architecture built in Java with a PostGIS data base. It is a robust, extensible infrastructure that can be leveraged by applications to discover and access disparate data types with on-the-fly reprojection, regridding, and reformatting. It was efficiently developed by focusing on reusing open source software, following best practices, and implementing proven design patterns. It reuses many open source libraries and utilities to enable rich functionality. This functionality includes processing and outputting of multiple formats, subsetting, reprojection, free text search, and a Web 2.0 interface. Future reuse of Searchlight components are supported at varying levels, ranging from the database and model components to Web services.  The Searchlight architecture is flexible for future enhancements, maintainable for a long expected life span, and capable of scaling to meet future growth and additional services to meet the changing needs of our user community",cicomponentREview,web application framework,data access,operational,,National Snow and Ice Data Center,,,,,,,,,,Searchlight,globe.jpg,web application framework
SECOORA Atmospheric Category Map,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/atmospheric,mapping between vocabularies,,vocabulary,information exchange,Community-Established,Ocean Science,Marine Metadata Initative,,,,,,,,,,SECOORA Atmospheric Category Map,vocabulary.jpg,vocabulary
SECOORA Ocean Current Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/current,Mapping of current terms to the overall current ontology,,vocabulary,information exchange,Community-Defacto,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Ocean Current Data,vocabulary.jpg,vocabulary
SECOORA Parameter Category Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/category,Categories of core variables and areas of societal benefit.,,vocabulary,information exchange,Published Standard,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Parameter Category Vocabulary,vocabulary.jpg,vocabulary
SECOORA Parameter Vocabulary,,http://mmisw.org/ont/ioos/parameter,"The SECOORA Vocabulary, now expanded to nearly 200 terms, is based on the IOOS Parameter Vocabulary (130 terms). All terms were given unique definitions and researched for consistency and continuity. All term names and definitions were reviewed and references and units provided in most cases. However, terms on fish and zooplankton species and abundance were not included in this version.",,vocabulary,information exchange,Published Standard,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Parameter Vocabulary,vocabulary.jpg,vocabulary
SECOORA Pathogen Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/pathogen,Mapping of the pathogen category to SECOORA parameters,,vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Pathogen Data,vocabulary.jpg,vocabulary
SECOORA Sampling Coordinate Terms,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/coordinate,"Mapping of the categories coordinate and relative location, respectively, to parameter vocabulary",,vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Sampling Coordinate Terms,vocabulary.jpg,vocabulary
SECOORA Sensor Terms,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/sensor,Mapping of sensor category to parameter vocabulary,,vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Sensor Terms,vocabulary.jpg,vocabulary
SECOORA Water Property Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/water_property,Mapping of category water property to parameter vocabulary,,vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Water Property Data,vocabulary.jpg,vocabulary
SECOORA Water Quality Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/water_quality,Mapping of water quality category to parameter vocabulary,,vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Water Quality Data,vocabulary.jpg,vocabulary
SECOORA Weather and Climate Data Map,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/weather_climate,Mapping of weather-climate category to parameter vocabulary,,vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Weather and Climate Data Map,vocabulary.jpg,vocabulary
Security Ontology,,http://vocab.deri.ie/security,This defines an ontology aiming to exchange information about classified activities.,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Security Ontology,vocabulary.jpg,vocabulary
SEDAC data portal,Socioeconomic Data and Applications Center DAAC  SEDAC,http://sedac.ciesin.columbia.edu/data/sets/browse,Data discovery and access entry point. May datasets accessible,cicomponentREview,web site,data access,operational,,"CIESIN, Columbia University",,,,,,,,,,SEDAC data portal,globe.jpg,web site
SedDB,,http://www.earthchem.org/seddb,"Sediment Geochemistry Database.
SedDB complements current geological data systems (PetDB, EarthChem, NavDat and GEOROC) with an integrated compilation of geochemistry of marine and continental sediments.",,Data Access,,,,Integrated Earth Data Applications,,,,,,,,,,SedDB,dataservice.jpg,Data Access
Semantic resource types created for the OOI program,,http://mmisw.org/orr/#http://mmisw.org/ont/ooici/resourceType,Semantic resource types created for the OOI program. These resource types can be used to classify other OOI semantic resources.,,vocabulary,information exchange,Published Standard,Ocean Science,OOI - Ocean Observatories Initiative,,,,,,,,,,Semantic resource types created for the OOI program,vocabulary.jpg,vocabulary
Semantic Web for Earth and Environmental Terminology (SWEET),,http://sweet.jpl.nasa.gov/,"Mid-level ontology for Earth and Environmental Science.
SWEET ontologies are written in the OWL ontology language and are publicly available. SWEET 2.3 is highly modular with 6000 concepts in 200 separate ontologies. You can view the entire concept space from an OWL tool such as Protege by reading in sweetAll.owl. Alternatively, these ontologies can be viewed individually. SWEET 2.3 consists of nine top-level concepts/ontologies. Some of the next-level concepts are shown in the Figure. SWEET is a middle-level ontology; most users add a domain-specific ontology using the components defined here to satisfy end user needs (Source: NASA JPL)",,vocabulary,information exchange,Published Standard,Atmosphere,NASA,,,,,,,,,,Semantic Web for Earth and Environmental Terminology (SWEET),vocabulary.jpg,vocabulary
semantic web services protocol and architecture (SSWAP) API,iPlant,"Goff et al., 2011",API  to access descriptions of how  services work in a language amenable to machine reasoning... allows service requestors to discover data and analysis services with a high degree of connectivity...handles the necessary conversions in a fashion that is transparent to both the developer and end user.,cicomponentREview,API,machine interface,,,iPlant,,HTTP API,,,,,,,,semantic web services protocol and architecture (SSWAP) API,webclient.jpg,API
semantic web services protocol and architecture (SSWAP) interchange format,iPlant,"Goff et al., 2011",language for describing web services,cicomponentREview,interchange format,information exchange,,,iPlant,,,,,,,,,,semantic web services protocol and architecture (SSWAP) interchange format,globe.jpg,interchange format
semantic web services protocol and architecture (SSWAP) SDK,iPlant,,Software development kit that allows web service providers to describe how their services work in a language amenable to machine reasoning... allows service requestors to discover data and analysis services with a high degree of connectivity...handles the necessary conversions in a fashion that is transparent to both the developer and end user.,cicomponentREview,SDK,software development,,,iPlant,"Goff et al., 2011",,,,,,,,,semantic web services protocol and architecture (SSWAP) SDK,globe.jpg,SDK
