Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
Q2O Parameter Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/q2o/parameter,Descriptions of the parameters used in quality control tests.,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Qartod to OGC,,,,,,,,,,Q2O Parameter Vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/q2o/parameter
Q2O Quality Control Tests,,http://mmisw.org/orr/#http://mmisw.org/ont/q2o/test,Descriptions of the quality control tests.,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Qartod to OGC,,,,,,,,,,Q2O Quality Control Tests,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/q2o/test
R,Ocean Observatory Initiative (OOI),http://www.r-project.org/,Software to perform data analysis and display.,Original CIComponent Compilation,Desktop application,data processing,Operational,,Open Source,,,,,,,,,,R,package-x-generic.png,http://www.r-project.org/
RabbitMQ,Ocean Observatory Initiative (OOI),https://www.rabbitmq.com/,Implementation of an AMQP broker. Currently implements 0.8 and soon 0.91 versions of the AMQP spec. Light-weight high performance implementation that enables clustering of multiple brokers. Provide persistent message store for transactions. Implemented in Erlang on top of the OTP platform. Can be configured via txRabbit or via command line,Original CIComponent Compilation,System,machine interface,Operational,,,,,,,,,,,,RabbitMQ,globe.jpg,
RAUL Vocabulary,,http://lov.okfn.org/dataset/lov/vocabs/raul,A vocabulary to describe Web form widgets. Strongly aligned with the meta model of HTML Web forms.,NotDocumented,Vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,RAUL Vocabulary,vocabulary.jpg,http://vocab.deri.ie/raul
RBV Metadata,,http://portailrbv.sedoo.fr/,"RBV Metadata catalog: river and drainage basin data from 15 French observatories, CSW/ISO19115, multilingual SKOS CVs. The Watershed Network (RBV) is a network of multi-disciplinary research with a mission to unite the efforts of different national organizations basic and applied research (CNRS, Universities, INRA, Cemagref, IRD) on the study of rivers , rivers and their watersheds . The RBV includes fifteen elementary observatories, both located on French territory in the South where they are the subject of advanced scientific collaborations.",NotDocumented,Catalog,,Community-Established,Hydrology,National Alliance for Environmental Research,,,,,,,,,,RBV Metadata,icon_catalog.jpg,http://portailrbv.sedoo.fr/
RDForms - representing HTML form and field semantics,,,"A vocabulary that defines how to represent HTML forms and fields (input, select, etc.) and CRUD operations on the fields.",NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,RDForms - representing HTML form and field semantics,vocabulary.jpg,http://vocab.deri.ie/rdforms
Re3gistry,,https://joinup.ec.europa.eu/software/re3gistry/home,"Data that are being shared between organisations often need to unambiguously refer to certain entities, such as a given topic/theme that a dataset refers to, a coordinate reference system or who the organisation is that is publishing the data. Lists that provide unique identifiers for such items, together with the items descriptions, are referred to as registers, and the systems and software that support the management of registers are known as registries.",High level inventory Pivot Viewer,Software library,JU,Unknown,Various,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,Re3gistry,software.png,https://joinup.ec.europa.eu/software/re3gistry/home
Real-Time ADAS -- ARPS Data Analysis System,,http://www.caps.ou.edu/ADAS.html,Real-Time ADAS -- ARPS Data Analysis System An experimental real-time 3-D analysis system. Web page with data plots from the Real-Time ADAS -- ARPS Data Analysis System An experimental real-time 3-D analysis system.,NotDocumented,Data Access,,,,"CAPS the numerical analysis and prediction of high-impact local weather and environmental conditions, with emphasis on the assimilation of observations from Doppler radars and in-situ and remote sensing systems",,,,,,,,,,Real-Time ADAS -- ARPS Data Analysis System,dataservice.jpg,http://www.caps.ou.edu/ADAS.html
reconstruct_feature_collection service,GPlates,http://gplates.gps.caltech.edu:8080,Plate tectonics reconstruction from PaleoDB. The reconstruct_feature_collection is a simple Web Service that reconstructs geographic feature data from present day coordinates back to some paleo-position.,IlyaZaslavsky,API,Data access,Beta,Geology,Caltech,http://gplates.gps.caltech.edu:8080/doc/,HTTP API,GeoJSON,GeoJSON,(feature_collection) (geologicage) (output) [coastlines] [test],"shapefile, geojson, topojson, gmtmap, img",GPlates features,,,reconstruct_feature_collection service,database.jpg,http://gplates.gps.caltech.edu:8080
Rent Properties,,http://vocab.deri.ie/rentprop,This vocabulary is used to describe rent properties documents,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Rent Properties,vocabulary.jpg,http://vocab.deri.ie/rentprop
ResearchGate,World Wide Web (WWW),http://www.researchgate.net/,"Our mission is to connect researchers and make it easy for them to share and access scientific output, knowledge, and expertise. On ResearchGate they find what they need to advance their research.",Original CIComponent Compilation,Web site,Discovery,,Science,,,,,,,,,,,ResearchGate,globe.jpg,http://www.researchgate.net/
Resource recommender,CINERGI,http://metadata.earthcube.org,front-end web client for users to suggest resources for registration,Original CIComponent Compilation,Component,web client,Operational,,CINERGI,,web page,"JSON, XML?",,,,,Java,,Resource recommender,globe.jpg,metadata.earthcube.org
Resource Type Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/resourcetype,This vocabulary defines a list of resource types that can be used to drive the corresponding drop-down in the ontology metadata editor.,NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,Marine Metadata Initative,,,,,,,,,,Resource Type Vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/mmi/resourcetype
Reverb,EOSDIS,http://www.echo.nasa.gov/reverb/about_reverb.htm | http://reverb.echo.nasa.gov/reverb,metadata and service discovery tool.,Original CIComponent Compilation,Web site,Discovery,Operational,,NASA,,,,,,,,,,Reverb,globe.jpg,http://www.echo.nasa.gov/reverb/about_reverb.htm | http://reverb.echo.nasa.gov/reverb
Ridge 2000 Data Portal,,http://www.marine-geo.org/portals/ridge2000/,"This page provides access to cruise information and data collected through the Ridge 2000 program. Find data using our search tools or by using the List Data by Site links. Data can also be accessed through GeoMapApp. The map client can be used to view the locations of stations, samples and vents, and links are provided to additional information in the database for each. In addition to Ridge 2000 data, this page provides access to data relevant to the integrated studies of spreading centers",NotDocumented,Web site,Data access,Not Evaluated,Ocean Science,Integrated Earth Data Applications,,,,,,,,,,Ridge 2000 Data Portal,globe.jpg,http://www.marine-geo.org/portals/ridge2000/
Role Type Vocabulary,,http://www.rvdata.us/voc/roletype,The various roles an individual can have in relation to R2R data and research.,NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Role Type Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/roletype
Rolling Deck to Repository vocabularies,,http://www.rvdata.us/voc/roletype,Rolling Deck to Repository(R2R) controlled vocabulary catalog,NotDocumented,Catalog,,Unknown,Oceanography,Rolling Deck to Repository,,,,,,,,,,Rolling Deck to Repository vocabularies,icon_catalog.jpg,a
rsync,Server OS *nix,http://linux.die.net/man/1/rsync,"rsync mirrors a directory tree of files and can incrementally detect updates to files and only transfer changes. It's a very basic, efficient and proven UNIX technology",Original CIComponent Compilation,Server application,information exchange,,,,,,,,,,,,,rsync,webclient.jpg,
rsyslog,Ocean Observatory Initiative (OOI),http://www.rsyslog.com/,"Rsyslog is an enhanced syslogd supporting, among others, MySQL, PostgreSQL, failover log destinations, syslog/tcp, fine grain output format control, high precision timestamps, queued operations and the ability to filter on any message part.",Original CIComponent Compilation,Server application,reporting,Operational,,,,,,,,,,,,rsyslog,webclient.jpg,http://www.rsyslog.com/
Rulz - the Rules in the Web Zoo,,http://vocab.deri.ie/rulz,"A vocabulary to describe rules (RIF, N3, Prolog, etc.) in the Web, which enables to effectively and efficiently discover rules in any format, based on topics, language, goals, etc.",NotDocumented,Vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Rulz - the Rules in the Web Zoo,vocabulary.jpg,http://vocab.deri.ie/rulz
S2 observatory Filchner Ronne,,http://www.fixo3.eu/observatory/filchner-ronne/,"The S2 Observatory for long term monitoring of Ice Shelf Water (ISW) Overflow situated at the Filchner sill in the southern Weddell Sea was established in 1977 and continues to deliver the longest existing marine time series from Antarctica. The position for the observatory S2 proved to be a key site for monitoring the ISW overflow produced beneath the huge Filchner Ronne Ice Shelf and is selected to be a part of the global net of monitoring sites under CLIVAR (www.clivar.org) and OceanSITES (www.oceansites.org). Time series of current speed and direction, temperature and salinity exist back to 1977. Continuous observation of dissolved oxygen started in 2009.",NotDocumented,Platform,,Not Evaluated,Ocean Science,Uni Research AS,,,,,,,,,,S2 observatory Filchner Ronne,globe.jpg,http://www.fixo3.eu/observatory/filchner-ronne/
S2S,,http://tw.rpi.edu/web/project/gcis-imsap/S2sFaceted,"Faceted Search and Browse functionality. S2S is a web application framework for searching distributed data repositories exposed by standardized web services. It was designed to facilitate the construction of interactive user interfaces for data catalogs. S2S allows one to quickly make faceted browsers of OpenSearch web services. It uses machine-readable semantics of data, services, and user interface components called ""widgets"". S2S automates various tasks in UI development for search interfaces.",Original CIComponent Compilation,Web application framework,"user interface, search",,,Tetherless world Constellation RPI,,Opensearch,,,,,,Virtuoso,,S2S,globe.jpg,http://tw.rpi.edu/web/project/gcis-imsap/S2sFaceted
SALVIAS,,http://www.salvias.net/pages/index.html,"SALVIAS is a network of ecologists, conservation biologists, biogeographers, botanists and computer programmers interested in understanding large scale patterns of plant diversity.",Original CIComponent Compilation,Organization,,,,,,,,,,,,,,SALVIAS,globe.jpg,http://www.salvias.net/pages/index.html
Sample Type Vocabulary,,http://www.rvdata.us/voc/sampletype,Terms to label data based on how the samples were acquired.,NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Sample Type Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/sampletype
Sat24,,http://www.sat24.com/,Web map application for viewing satellite weather data,NotDocumented,Web site,data presentation,,Meteorology,No Affiliated Organization,,,,,,,,,,Sat24,globe.jpg,http://www.sat24.com/
Schema.org CSV,,http://vocab.deri.ie/scsv,Mapping vocabulary for CSV files that use Schema.org terms in the header.,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Schema.org CSV,vocabulary.jpg,http://vocab.deri.ie/scsv
SciCrunch,Neuroscience information framework (NIF),https://www.scicrunch.org/,"SciCrunch is a data sharing and display platform. Anyone can create a custom portal where they can select searchable subsets of hundreds of data sources, brand their web pages and create their community. SciCrunch will push data updates automatically to all portals on a weekly basis. User communities can also add their own data to scicrunch, however this is not currently a free service. (https://www.scicrunch.org/)",Original CIComponent Compilation,Cloud Platform,,,,,,,,,,,,,,SciCrunch,globe.jpg,
SCIDIP-ES,,http://www.scidip-es.eu/,"SCIence Data Infrastructure for Preservation with focus on Earth Science (SCIDIP-ES) is a European 7th Framework project. It brings together the state of the art in preservation technologies, represented by Earth Science repositories, and researchers for digital data preservation techniques.",NotDocumented,System,,Not Implemented,Geology,Science Data Infrastructure Preservation,,,,,,,,,,SCIDIP-ES,globe.jpg,http://www.scidip-es.eu/
scientific networking and collaboration portal,iPlant,,"provides researchers with a site to connect with other researchers and to facilitate new collaborations and wider communication... facilitate data assembly for phylogenetic trees... connecting members to each other, to groups with common interests, and to the content these groups co-create.",Original CIComponent Compilation,Web site,user interface,,,iPlant,"Goff et al., 2011",web page,,,,,,my-Plant.org,,scientific networking and collaboration portal,globe.jpg,
SCO Vocabulary,,http://wiki.opensemanticframework.org/index.php/SCO_Ontology,The SCO (Semantic Component Ontology) ontology is a set of terms used to annotate (OWL 2's Annotation Predicate) classes and predicates of an ontology. These annotations drive the Semantic Component Library. The SCO is the vocabulary used to tell the system what to do (which Semantic Component to use) when a record is described with some attributes and types. (http://wiki.opensemanticframework.org/index.php/SCO_Ontology),NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,SCO Vocabulary,vocabulary.jpg,http://vocab.deri.ie/sco
SCOVO Link Vocabulary,,http://vocab.deri.ie/scovolink,"SCOVO Link allows the grounding of SCOVO entities in existing vocabularies. Authors are: Denny Vrandecic, Christoph Lange, Michael Hausenblas, Jie Bao and Li Ding.",NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,SCOVO Link Vocabulary,vocabulary.jpg,http://vocab.deri.ie/scovolink
Sea Area Vocabulary,,http://www.rvdata.us/voc/gazetteer-seaarea,"Map ID, IHO code and name of various seas from which R2R collects data.",NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Sea Area Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/gazetteer-seaarea
"Sea Surface Temperature (Global Telecommunications Systems, GTS)",,http://mmisw.org/orr/#http://mmisw.org/ont/noaa/gts,"Terms describing plots developed by NOAA NMFS PFEL. The plots in this data group are of monthly means in 1-degree lat/lon squares of sea surface temperature and anomalies. They were computed from GTS surface observations received twice a day by PFEL from FNMOC (Fleet Numerical Meteorology and Oceanography Center). These are global real-time surface observations from platforms such as ships and buoys (both fixed and drifting). They are a subset of the data which will be included in an update to COADS (Comprehensive Ocean-Atmosphere Data Set, also see COADS on CD-ROM) .",NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,NOAA,,,,,,,,,,"Sea Surface Temperature (Global Telecommunications Systems, GTS)",vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/noaa/gts
SeaBASS,OceanColor Web,http://seabass.gsfc.nasa.gov/,repository of in situ oceanographic data to support algorithm development and satellite data product validation activities.,Original CIComponent Compilation,Repository,data management,Operational,,Goddard Space Flight Center,,,,,,,,,,SeaBASS,database.jpg,http://seabass.gsfc.nasa.gov/
SeaDAS,OceanColor Web,http://seadas.gsfc.nasa.gov/,image analysis package for the processing and display of satellite ocean color data.,Original CIComponent Compilation,Software library,,,,Goddard Space Flight Center,,,,,,,,,,SeaDAS,globe.jpg,http://seadas.gsfc.nasa.gov/
SeaDataNet Software,,http://www.seadatanet.org/Standards-Software/Software,"A suite of tools designed by SeaDataNet to facilitate the creation, editing, and conversion of ocean and marine data and metadata. Particular tools are available for preparing ISO 19115-conformant XML metadata files for the SeaDataNet directories.",High level inventory Pivot Viewer,Software library,DCC,Unknown,Data Systems,Digital Curation Centre,,,,,,,,,,SeaDataNet Software,software.png,http://www.seadatanet.org/Standards-Software/Software
Searchlight,National Snow and Ice Data Center,http://nsidc.org/searchlight/index.html,"Searchlight is a layered architecture built in Java with a PostGIS data base. It is a robust, extensible infrastructure that can be leveraged by applications to discover and access disparate data types with on-the-fly reprojection, regridding, and reformatting. It was efficiently developed by focusing on reusing open source software, following best practices, and implementing proven design patterns. It reuses many open source libraries and utilities to enable rich functionality. This functionality includes processing and outputting of multiple formats, subsetting, reprojection, free text search, and a Web 2.0 interface. Future reuse of Searchlight components are supported at varying levels, ranging from the database and model components to Web services. The Searchlight architecture is flexible for future enhancements, maintainable for a long expected life span, and capable of scaling to meet future growth and additional services to meet the changing needs of our user community",Original CIComponent Compilation,Web application framework,Data access,Operational,,National Snow and Ice Data Center,,,,,,,,,,Searchlight,globe.jpg,http://nsidc.org/searchlight/index.html
SECOORA Atmospheric Category Map,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/atmospheric,mapping between vocabularies,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Marine Metadata Initative,,,,,,,,,,SECOORA Atmospheric Category Map,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/atmospheric
SECOORA Ocean Current Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/current,Mapping of current terms to the overall current ontology,NotDocumented,Vocabulary,information exchange,Community-Defacto,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Ocean Current Data,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/current
SECOORA Parameter Category Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/category,Categories of core variables and areas of societal benefit.,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Parameter Category Vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/category
SECOORA Parameter Vocabulary,,http://mmisw.org/ont/ioos/parameter,"The SECOORA Vocabulary, now expanded to nearly 200 terms, is based on the IOOS Parameter Vocabulary (130 terms). All terms were given unique definitions and researched for consistency and continuity. All term names and definitions were reviewed and references and units provided in most cases. However, terms on fish and zooplankton species and abundance were not included in this version.",NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Parameter Vocabulary,vocabulary.jpg,http://mmisw.org/ont/ioos/parameter
SECOORA Pathogen Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/pathogen,Mapping of the pathogen category to SECOORA parameters,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Pathogen Data,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/pathogen
SECOORA Sampling Coordinate Terms,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/coordinate,"Mapping of the categories coordinate and relative location, respectively, to parameter vocabulary",NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Sampling Coordinate Terms,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/coordinate
SECOORA Sensor Terms,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/sensor,Mapping of sensor category to parameter vocabulary,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Sensor Terms,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/sensor
SECOORA Water Property Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/water_property,Mapping of category water property to parameter vocabulary,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Water Property Data,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/water_property
SECOORA Water Quality Data,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/water_quality,Mapping of water quality category to parameter vocabulary,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Water Quality Data,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/water_quality
SECOORA Weather and Climate Data Map,,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/weather_climate,Mapping of weather-climate category to parameter vocabulary,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,Southeast Coastal Ocean Observing Regional Association,,,,,,,,,,SECOORA Weather and Climate Data Map,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/secoora/weather_climate
Security Ontology,,http://vocab.deri.ie/security,This defines an ontology aiming to exchange information about classified activities.,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Security Ontology,vocabulary.jpg,http://vocab.deri.ie/security
SEDAC data portal,Socioeconomic Data and Applications Center DAAC SEDAC,http://sedac.ciesin.columbia.edu/data/sets/browse,Data discovery and access entry point. May datasets accessible,Original CIComponent Compilation,Web site,Data access,Operational,,"CIESIN, Columbia University",,,,,,,,,,SEDAC data portal,globe.jpg,http://sedac.ciesin.columbia.edu/data/sets/browse
SedDB,,http://www.earthchem.org/seddb,"Sediment Geochemistry Database. SedDB complements current geological data systems (PetDB, EarthChem, NavDat and GEOROC) with an integrated compilation of geochemistry of marine and continental sediments.",NotDocumented,Data Access,,,,Integrated Earth Data Applications,,,,,,,,,,SedDB,dataservice.jpg,http://www.earthchem.org/seddb
Semantic resource types created for the OOI program,,http://mmisw.org/orr/#http://mmisw.org/ont/ooici/resourceType,Semantic resource types created for the OOI program. These resource types can be used to classify other OOI semantic resources.,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,OOI - Ocean Observatories Initiative,,,,,,,,,,Semantic resource types created for the OOI program,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/ooici/resourceType
Semantic Web for Earth and Environmental Terminology (SWEET),,http://sweet.jpl.nasa.gov/,"Mid-level ontology for Earth and Environmental Science. SWEET ontologies are written in the OWL ontology language and are publicly available. SWEET 2.3 is highly modular with 6000 concepts in 200 separate ontologies. You can view the entire concept space from an OWL tool such as Protege by reading in sweetAll.owl. Alternatively, these ontologies can be viewed individually. SWEET 2.3 consists of nine top-level concepts/ontologies. Some of the next-level concepts are shown in the Figure. SWEET is a middle-level ontology; most users add a domain-specific ontology using the components defined here to satisfy end user needs (Source: NASA JPL)",NotDocumented,Vocabulary,information exchange,Published Standard,Atmosphere,NASA,,,,,,,,,,Semantic Web for Earth and Environmental Terminology (SWEET),vocabulary.jpg,http://sweet.jpl.nasa.gov/
semantic web services protocol and architecture (SSWAP) API,iPlant,https://pods.iplantcollaborative.org/wiki/display/docs/Semantic+Web+APIs,API to access descriptions of how services work in a language amenable to machine reasoning... allows service requestors to discover data and analysis services with a high degree of connectivity...handles the necessary conversions in a fashion that is transparent to both the developer and end user.,Original CIComponent Compilation,API,machine interface,,,iPlant,"Goff et al., 2011, The iPlant collaborative:cyberinfrastructure for plant biology: Frontiers in Plant Scinece, www.frontiersin.org, Volume 2, Article 34, doi: 10.3389/fpls.2011.00034.",HTTP API,,,,,,,,semantic web services protocol and architecture (SSWAP) API,webclient.jpg,"Goff et al., 2011"
semantic web services protocol and architecture (SSWAP) interchange format,iPlant,https://pods.iplantcollaborative.org/wiki/display/docs/Semantic+Web+APIs,language for describing web services,Original CIComponent Compilation,Interchange Format,information exchange,,,iPlant,"Goff et al., 2011, The iPlant collaborative:cyberinfrastructure for plant biology: Frontiers in Plant Scinece, www.frontiersin.org, Volume 2, Article 34, doi: 10.3389/fpls.2011.00034.",,,,,,,,,semantic web services protocol and architecture (SSWAP) interchange format,globe.jpg,"Goff et al., 2011"
semantic web services protocol and architecture (SSWAP) SDK,iPlant,https://pods.iplantcollaborative.org/wiki/display/docs/Semantic+Web+APIs,Software development kit that allows web service providers to describe how their services work in a language amenable to machine reasoning... allows service requestors to discover data and analysis services with a high degree of connectivity...handles the necessary conversions in a fashion that is transparent to both the developer and end user.,Original CIComponent Compilation,Software library,software development,,,iPlant,"Goff et al., 2011",,,,,,,,,semantic web services protocol and architecture (SSWAP) SDK,globe.jpg,
Sensor Ontology,,http://mmisw.org/orr/#http://www.w3.org/2009/SSN-XG/Ontologies,Ontology developed by the W3C Semantic Sensor Network Incubator Group,NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,W3C,,,,,,,,,,Sensor Ontology,vocabulary.jpg,http://mmisw.org/orr/#http://www.w3.org/2009/SSN-XG/Ontologies
Sensor web servers,GEOSS,,Services to access sensors and sensors networks: e.g.; ground station and associated satellites; and in-situ networks of sensors.,Original CIComponent Compilation,Server application,data acquisition,,,GEOSS,OGC AIP-7 Architecture report,SOS | SPS | SAS,,,,,,,,Sensor web servers,webclient.jpg,
server code repository,GEOSS,,"a server code repository will be deployed and made available for the GCI components software GeoTasks make more discoverable, accessible and usable the GEOSS components developed contribute code references to BPW or a link from the BPW to code hosts (e.g., GitHub, SourceForge), creating the GEOSS App Store...",Original CIComponent Compilation,Repository,resource access,,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,server code repository,database.jpg,
Service monitoring,GEOSS,,,Original CIComponent Compilation,Server application,usage monitoring,,,GEOSS,"OGC AIP-7 Architecture report, Figure 7",,,,,,,,,Service monitoring,webclient.jpg,
Services Register,GEOSS,,list of services registered into GEOSS,Original CIComponent Compilation,Register,Discovery,,,GEOSS,"OGC AIP-7 Architecture report, figure 4",,,,,,,,,Services Register,globe.jpg,
SESAR Collection Method,,http://www.geosamples.org/help/vocabularies#collection,SESAR suggested list to classify how samples were collected,NotDocumented,Vocabulary,information exchange,Community-Established,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Collection Method,vocabulary.jpg,http://www.geosamples.org/help/vocabularies#collection
SESAR Country List,,http://www.geosamples.org/help/vocabularies/country,Controlled list of countries accounted for by SESAR,NotDocumented,Vocabulary,information exchange,Published Standard,Generic,Integrated Earth Data Applications,,,,,,,,,,SESAR Country List,vocabulary.jpg,http://www.geosamples.org/help/vocabularies/country
SESAR Material,,http://app.geosamples.org/reference/materials.php,Terms to describe matter and type of mineral,NotDocumented,Vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Material,vocabulary.jpg,http://app.geosamples.org/reference/materials.php
SESAR Metadata Fields,,http://www.geosamples.org/help/vocabularies#metadata,Vocabulary to describe metadata,NotDocumented,Vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Metadata Fields,vocabulary.jpg,http://www.geosamples.org/help/vocabularies#metadata
SESAR Mineral Classification,,http://www.geosamples.org/help/vocabularies/mineral,Controlled list of terms to describe mineral samples,NotDocumented,Vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Mineral Classification,vocabulary.jpg,http://www.geosamples.org/help/vocabularies/mineral
SESAR Navigation Type,,http://www.geosamples.org/help/vocabularies#nav,Controlled list of navigation methods and terms based off the MGDS list.,NotDocumented,Vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Navigation Type,vocabulary.jpg,http://www.geosamples.org/help/vocabularies#nav
SESAR Physiographic Feature,,http://www.geosamples.org/help/vocabularies#physio,SESAR suggest list for classify geophysical features,NotDocumented,Vocabulary,information exchange,Community-Established,Geospatial,Integrated Earth Data Applications,,,,,,,,,,SESAR Physiographic Feature,vocabulary.jpg,http://www.geosamples.org/help/vocabularies#physio
SESAR Platform Type,,http://www.geosamples.org/help/vocabularies#platform,SESAR suggested list to describe vehicles and other craft used in research.,NotDocumented,Vocabulary,information exchange,Community-Established,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Platform Type,vocabulary.jpg,http://www.geosamples.org/help/vocabularies#platform
SESAR Rock Classification,,http://www.geosamples.org/help/vocabularies/rock,Controlled list of terms to classify rock samples,NotDocumented,Vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Rock Classification,vocabulary.jpg,http://www.geosamples.org/help/vocabularies/rock
SESAR Sample Type (Object),,http://www.geosamples.org/help/vocabularies#object,"The System for Earth Sample Registration registers specimens and related sampling features collected from the natural environment. These include, but are not limited to: Rock, mineral, or fossil specimens, and sub-samples thereof (e.g. thin sections, mineral concentrates) Dredges Cores (rock, sediment, ice) and related core sections, section halves, and samples from cores Fluid samples (seawater, river or lake water, hydrothermal fluids, porewater) Drill holes and wells Soil pedons and samples thereof Macro- and micro-biology samples",NotDocumented,Vocabulary,information exchange,Published Standard,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR Sample Type (Object),vocabulary.jpg,http://www.geosamples.org/help/vocabularies#object
SESAR vocabularies,,http://www.geosamples.org/help/vocabularies,web page listing of vocabularies,NotDocumented,Catalog,,Unknown,Geology,Integrated Earth Data Applications,,,,,,,,,,SESAR vocabularies,icon_catalog.jpg,http://www.geosamples.org/help/vocabularies
